iter	Passed	Remaining
410	3661	5246
411	3665	5232
412	3672	5219
413	3683	5213
414	3688	5199
415	3695	5188
416	3702	5176
417	3711	5167
418	3716	5152
419	3723	5141
420	3728	5127
421	3733	5113
422	3742	5105
423	3751	5096
424	3762	5090
425	3767	5076
426	3774	5064
427	3780	5052
428	3793	5049
429	3801	5038
430	3816	5038
431	3833	5039
432	3843	5033
433	3849	5020
434	3857	5010
435	3862	4996
436	3870	4986
437	3875	4972
438	3888	4969
439	3896	4958
440	3905	4950
441	3913	4940
442	3920	4928
443	3924	4915
444	3932	4904
445	3941	4895
446	3953	4890
447	3959	4878
448	3976	4880
449	3986	4872
450	3992	4859
451	4000	4849
452	4005	4836
453	4010	4822
454	4019	4814
455	4026	4803
456	4038	4797
457	4048	4791
458	4053	4778
459	4062	4769
460	4070	4759
461	4081	4752
462	4088	4741
463	4098	4734
464	4106	4724
465	4116	4717
466	4124	4706
467	4134	4699
468	4145	4693
469	4153	4684
470	4163	4676
471	4172	4667
472	4192	4670
473	4199	4660
474	4209	4653
475	4219	4645
476	4232	4640
477	4245	4636
478	4252	4625
479	4262	4617
480	4269	4606
481	4278	4598
482	4283	4585
483	4292	4575
484	4297	4563
485	4313	4562
486	4324	4555
487	4331	4544
488	4341	4536
489	4353	4531
490	4362	4522
491	4374	4516
492	4382	4506
493	4397	4504
494	4407	4496
495	4418	4490
496	4427	4480
497	4447	4483
498	4458	4475
499	4467	4467
500	4474	4457
501	4485	4449
502	4491	4437
503	4499	4427
504	4506	4417
505	4511	4404
506	4517	4393
507	4527	4384
508	4534	4374
509	4540	4362
510	4545	4350
511	4559	4346
512	4571	4339
513	4577	4328
514	4584	4317
515	4589	4305
516	4595	4293
517	4600	4281
518	4605	4268
519	4614	4259
520	4632	4259
521	4640	4249
522	4649	4240
523	4657	4231
524	4667	4222
525	4674	4212
526	4683	4203
527	4690	4192
528	4700	4184
529	4708	4175
530	4716	4165
531	4726	4157
532	4748	4160
533	4763	4157
534	4775	4150
535	4782	4139
536	4787	4127
537	4794	4116
538	4799	4104
539	4807	4095
540	4816	4086
541	4824	4076
542	4829	4064
543	4834	4052
544	4841	4042
545	4846	4029
546	4854	4020
547	4859	4008
548	4864	3996
549	4871	3985
550	4876	3974
551	4882	3962
552	4893	3955
553	4898	3943
554	4909	3936
555	4914	3924
556	4924	3916
557	4931	3906
558	4941	3898
559	4955	3893
560	4967	3887
561	4979	3880
562	4994	3876
563	5005	3869
564	5012	3859
565	5020	3849
566	5028	3840
567	5046	3838
568	5053	3828
569	5063	3820
570	5071	3810
571	5081	3802
572	5086	3790
573	5091	3778
574	5098	3768
575	5103	3756
576	5108	3744
577	5119	3737
578	5127	3728
579	5132	3716
580	5142	3708
581	5167	3711
582	5178	3703
583	5186	3694
584	5196	3686
585	5201	3674
586	5210	3665
587	5217	3656
588	5226	3647
589	5231	3635
590	5236	3623
591	5242	3613
592	5248	3601
593	5256	3592
594	5261	3581
595	5266	3569
596	5273	3559
597	5279	3548
598	5284	3537
599	5291	3527
600	5296	3516
601	5302	3505
602	5310	3496
603	5319	3487
604	5327	3478
605	5338	3471
606	5347	3462
607	5378	3467
608	5417	3477
609	5426	3469
610	5470	3482
611	5478	3473
612	5489	3465
613	5499	3457
614	5506	3447
615	5515	3438
616	5525	3430
617	5539	3423
618	5550	3416
619	5560	3408
620	5569	3399
621	5577	3389
622	5588	3381
623	5600	3374
624	5621	3372
625	5636	3367
626	5646	3359
627	5674	3361
628	5685	3353
629	5696	3345
630	5704	3335
631	5751	3348
632	5765	3342
633	5779	3336
634	5800	3333
635	5812	3326
636	5820	3316
637	5836	3311
638	5858	3309
639	5865	3299
640	5877	3291
641	5885	3281
642	5969	3314
643	5984	3308
644	5998	3301
645	6010	3293
646	6021	3285
647	6068	3296
648	6083	3290
649	6091	3279
650	6101	3271
651	6116	3264
652	6123	3254
653	6142	3249
654	6152	3240
655	6168	3234
656	6177	3225
657	6187	3215
658	6198	3207
659	6208	3198
660	6216	3188
661	6248	3190
662	6256	3180
663	6269	3172
664	6300	3173
665	6313	3166
666	6325	3157
667	6334	3148
668	6357	3145
669	6367	3136
670	6378	3127
671	6389	3118
672	6413	3116
673	6433	3111
674	6445	3103
675	6456	3094
676	6472	3087
677	6479	3077
678	6491	3068
679	6503	3060
680	6510	3049
681	6521	3040
682	6530	3030
683	6545	3023
684	6558	3015
685	6569	3006
686	6575	2995
687	6583	2985
688	6591	2975
689	6600	2965
690	6608	2955
691	6619	2946
692	6629	2937
693	6637	2926
694	6648	2917
695	6656	2907
696	6666	2898
697	6673	2887
698	6683	2877
699	6690	2867
700	6701	2858
701	6711	2848
702	6717	2838
703	6724	2827
704	6731	2816
705	6740	2807
706	6751	2798
707	6765	2790
708	6783	2784
709	6797	2776
710	6809	2767
711	6816	2757
712	6825	2747
713	6832	2736
714	6842	2727
715	6849	2716
716	6860	2707
717	6870	2698
718	6879	2688
719	6906	2685
720	6914	2675
721	6933	2669
722	6939	2658
723	6947	2648
724	6987	2650
725	6998	2641
726	7006	2631
727	7019	2622
728	7037	2616
729	7049	2607
730	7055	2596
731	7066	2587
732	7074	2576
733	7086	2567
734	7096	2558
735	7103	2547
736	7113	2538
737	7119	2527
738	7129	2518
739	7137	2507
740	7149	2498
741	7162	2490
742	7169	2480
743	7188	2473
744	7203	2465
745	7217	2457
746	7228	2448
747	7234	2437
748	7245	2428
749	7252	2417
750	7261	2407
751	7268	2397
752	7279	2387
753	7292	2379
754	7299	2368
755	7310	2359
756	7318	2349
757	7329	2339
758	7339	2330
759	7346	2319
760	7355	2310
761	7362	2299
762	7446	2312
763	7457	2303
764	7466	2293
765	7578	2314
766	7588	2305
767	7595	2294
768	7605	2284
769	7612	2273
770	7692	2284
771	7701	2274
772	7708	2263
773	7717	2253
774	7727	2243
775	7740	2234
776	7806	2240
777	7817	2230
778	7825	2220
779	7839	2211
780	7849	2201
781	7857	2190
782	7863	2179
783	7869	2168
784	7876	2157
785	7885	2146
786	7892	2135
787	7902	2125
788	7917	2117
789	7930	2107
790	7938	2097
791	7947	2087
792	7953	2076
793	7962	2065
794	7969	2055
795	7978	2044
796	7984	2033
797	7993	2023
798	8001	2012
799	8011	2002
800	8017	1991
801	8026	1981
802	8034	1971
803	8042	1960
804	8048	1949
805	8057	1939
806	8064	1928
807	8070	1917
808	8078	1907
809	8085	1896
810	8095	1886
811	8103	1876
812	8113	1866
813	8133	1858
814	8144	1848
815	8152	1838
816	8161	1828
817	8171	1818
818	8189	1809
819	8197	1799
820	8209	1789
821	8216	1779
822	8227	1769
823	8236	1759
824	8244	1748
825	8265	1741
826	8274	1730
827	8281	1720
828	8294	1710
829	8307	1701
830	8318	1691
831	8327	1681
832	8337	1671
833	8343	1660
834	8352	1650
835	8359	1639
836	8369	1629
837	8377	1619
838	8404	1612
839	8411	1602
840	8421	1592
841	8429	1581
842	8438	1571
843	8445	1561
844	8453	1550
845	8462	1540
846	8470	1530
847	8480	1520
848	8488	1509
849	8497	1499
850	8522	1492
851	8537	1482
852	8545	1472
853	8552	1462
854	8561	1451
855	8568	1441
856	8577	1431
857	8586	1421
858	8595	1410
859	8601	1400
860	8609	1389
861	8616	1379
862	8625	1369
863	8632	1358
864	8641	1348
865	8653	1338
866	8662	1328
867	8672	1318
868	8680	1308
869	8723	1303
870	8730	1293
871	8740	1283
872	8748	1272
873	8758	1262
874	8765	1252
875	8775	1242
876	8782	1231
877	8792	1221
878	8804	1212
879	8812	1201
880	8821	1191
881	8828	1181
882	8839	1171
883	8843	1160
884	8852	1150
885	8860	1140
886	8868	1129
887	8876	1119
888	8885	1109
889	8894	1099
890	8904	1089
891	8912	1079
892	8922	1069
893	8934	1059
894	8942	1049
895	8954	1039
896	8961	1029
897	8970	1018
898	8977	1008
899	8987	998
900	8998	988
901	9005	978
902	9014	968
903	9021	958
904	9031	948
905	9037	937
906	9046	927
907	9056	917
908	9064	907
909	9071	897
910	9080	887
911	9089	877
912	9098	866
913	9116	857
914	9128	847
915	9162	840
916	9170	830
917	9180	820
918	9215	812
919	9222	801
920	9232	791
921	9242	781
922	9257	772
923	9265	762
924	9271	751
925	9279	741
926	9286	731
927	9293	721
928	9300	710
929	9308	700
930	9315	690
931	9326	680
932	9340	670
933	9349	660
934	9358	650
935	9368	640
936	9376	630
937	9386	620
938	9391	610
939	9397	599
940	9404	589
941	9409	579
942	9414	569
943	9421	558
944	9426	548
945	9433	538
946	9438	528
947	9443	518
948	9452	508
949	9460	497
950	9467	487
951	9472	477
952	9479	467
953	9486	457
954	9491	447
955	9500	437
956	9506	427
957	9513	417
958	9522	407
959	9535	397
960	9556	387
961	9566	377
962	9573	367
963	9583	357
964	9610	348
965	9617	338
966	9626	328
967	9633	318
