iter	RMSE
136	2.17711468
137	2.176051141
138	2.175724167
139	2.17469825
140	2.173714181
141	2.171917476
142	2.169109259
143	2.168165997
144	2.16621148
145	2.163709161
146	2.163204007
147	2.161921725
148	2.160489274
149	2.159520357
150	2.158075014
151	2.156380141
152	2.155729491
153	2.154773851
154	2.153490443
155	2.15234991
156	2.151309801
157	2.149831891
158	2.148592372
159	2.147192434
160	2.145557125
161	2.144414147
162	2.143678415
163	2.143613288
164	2.142298183
165	2.141663141
166	2.141126347
167	2.140927989
168	2.140734572
169	2.139722564
170	2.139502051
171	2.139323914
172	2.137956856
173	2.13691576
174	2.135958281
175	2.133745981
176	2.132980346
177	2.132811382
178	2.132628673
179	2.132468768
180	2.130722297
181	2.130546603
182	2.129519744
183	2.12929618
184	2.129124861
185	2.127521864
186	2.127382058
187	2.125487119
188	2.125261765
189	2.124624403
190	2.124484904
191	2.122670878
192	2.121751011
193	2.121599839
194	2.121453673
195	2.121310213
196	2.121181786
197	2.12105636
198	2.120948866
199	2.120700813
200	2.120585042
201	2.120183047
202	2.120073474
203	2.119019217
204	2.118853822
205	2.118749881
206	2.118607935
207	2.118467202
208	2.118371384
209	2.118248793
210	2.116743163
211	2.116654888
212	2.115387183
213	2.115293984
214	2.115183308
215	2.114905554
216	2.114819898
217	2.113200876
218	2.113100442
219	2.113000574
220	2.112753405
221	2.111710843
222	2.110195391
223	2.109786463
224	2.109701569
225	2.108753743
226	2.108237108
227	2.106642182
228	2.105269216
229	2.103588179
230	2.103496527
231	2.102861494
232	2.10276907
233	2.102695693
234	2.100456888
235	2.099388391
236	2.097222205
237	2.096989947
238	2.095630372
239	2.094774157
240	2.093364513
241	2.091169161
242	2.091082305
243	2.090175209
244	2.088906688
245	2.08748886
246	2.086484386
247	2.085185371
248	2.083489303
249	2.081209735
250	2.0797363
251	2.077684334
252	2.076681575
253	2.07475985
254	2.073173207
255	2.072374592
256	2.072321867
257	2.071247889
258	2.069369228
259	2.068212707
260	2.067666012
261	2.066816866
262	2.064925172
263	2.063045192
264	2.062141554
265	2.06105052
266	2.060206028
267	2.058613016
268	2.057873526
269	2.056657793
270	2.054863144
271	2.053853064
272	2.052245199
273	2.051231322
274	2.050445135
275	2.049226616
276	2.048612421
277	2.047697168
278	2.046730966
279	2.045937262
280	2.045895406
281	2.045853116
282	2.044509783
283	2.04405624
284	2.04392312
285	2.042878788
286	2.041951627
287	2.04068972
288	2.039189744
289	2.039157698
290	2.037487177
291	2.036473987
292	2.035192189
293	2.034355081
294	2.033615199
295	2.032141963
296	2.030310879
297	2.029032754
298	2.027495368
299	2.026376278
300	2.026256169
301	2.025390936
302	2.024178969
303	2.022466532
304	2.022276895
305	2.021298147
306	2.020594239
307	2.019768831
308	2.019363701
309	2.018626164
310	2.017246885
311	2.016458304
312	2.015750275
313	2.015634371
314	2.014950865
315	2.013919875
316	2.01371907
317	2.012801696
318	2.012774882
319	2.011721446
320	2.011691348
321	2.010964505
322	2.010001363
323	2.00945986
324	2.007937482
325	2.00645062
326	2.006362617
327	2.006256408
328	2.00526807
329	2.00458851
330	2.003930705
331	2.003901416
332	2.003268449
333	2.003166989
334	2.002401025
335	2.001124556
336	2.00060843
337	1.99983045
338	1.998825733
339	1.997748806
340	1.996808004
341	1.995988595
342	1.995347844
343	1.993933663
344	1.992790615
345	1.991911485
346	1.990736677
347	1.987833712
348	1.986605682
349	1.985478878
350	1.983915771
351	1.982455782
352	1.98183227
353	1.981212432
354	1.979997937
355	1.979053431
356	1.978319722
357	1.977409566
358	1.976338263
359	1.975118822
360	1.974226927
361	1.973373717
362	1.972260122
363	1.971193133
364	1.970190879
365	1.968832578
366	1.967384168
367	1.966450017
368	1.965880361
369	1.964866683
370	1.964017703
371	1.963434113
372	1.962622406
373	1.961858293
374	1.96120875
375	1.96070234
376	1.960195323
377	1.95951965
378	1.958667828
379	1.957859258
380	1.956962221
381	1.955750289
382	1.95487607
383	1.954031225
384	1.952745488
385	1.951908953
386	1.950803125
387	1.950227984
388	1.949473192
389	1.948759492
390	1.947713367
391	1.947067774
392	1.946322777
393	1.945205938
394	1.944228882
395	1.943625339
396	1.942695588
397	1.942125018
398	1.941084371
399	1.940381137
400	1.939326517
401	1.938592491
402	1.938133046
403	1.93696749
404	1.936035766
405	1.935422031
406	1.934741418
407	1.934017809
408	1.932988184
409	1.932267805
410	1.931792604
411	1.93126185
412	1.930713138
413	1.930080078
414	1.929604705
415	1.92897394
416	1.928236269
417	1.927727408
418	1.927039783
419	1.926539676
420	1.925753904
421	1.924888172
422	1.924420401
423	1.92359046
424	1.922858009
425	1.921797668
426	1.920929244
427	1.920731991
428	1.919953168
429	1.918820696
430	1.917968415
431	1.916834045
432	1.916442533
433	1.915729337
434	1.91528059
435	1.914710643
436	1.913856971
437	1.913431162
438	1.91235366
439	1.911669018
440	1.910935696
441	1.910343909
442	1.90953083
443	1.908605277
444	1.907856928
445	1.907587254
446	1.906820563
447	1.905995044
448	1.905241116
449	1.904407664
450	1.904013127
451	1.903262137
452	1.902511573
453	1.901873435
454	1.901248584
455	1.899914095
456	1.899487218
457	1.899101855
458	1.898727748
459	1.897682448
460	1.896944457
461	1.896427687
462	1.895687356
463	1.89530837
464	1.894618891
465	1.893914951
466	1.893681634
467	1.893185797
468	1.892349273
469	1.89174284
470	1.891493704
471	1.891035726
472	1.890643588
473	1.890064304
474	1.889715713
475	1.889224005
476	1.888540644
477	1.888199792
478	1.887829333
479	1.887060588
480	1.886644817
481	1.885811661
482	1.885256616
483	1.884733599
484	1.884176424
485	1.882857983
486	1.882329435
487	1.881660902
488	1.881402864
489	1.880746785
490	1.879534841
491	1.878398994
492	1.877517155
493	1.876802058
494	1.876008321
495	1.875405938
496	1.874797362
497	1.874145971
498	1.873545437
499	1.873077296
500	1.872441176
501	1.871740083
502	1.870737001
503	1.870142161
504	1.869850108
505	1.868391991
506	1.86733584
507	1.866732001
508	1.866177262
509	1.865487155
510	1.86503286
511	1.864394314
512	1.863185642
513	1.863070625
514	1.862674099
515	1.862370307
516	1.861561626
517	1.860968907
518	1.860448149
519	1.859314774
520	1.858701468
521	1.85829533
522	1.858086024
523	1.857975228
524	1.856993199
525	1.856710699
526	1.856426383
527	1.855922645
528	1.855321336
529	1.854606268
530	1.85403256
531	1.85310971
532	1.852461417
533	1.851879732
534	1.850985076
535	1.850603569
536	1.849898841
537	1.849046635
538	1.84849044
539	1.847503835
540	1.847025073
541	1.846752451
542	1.846208962
543	1.845458061
544	1.845199128
545	1.844751961
546	1.843738263
547	1.843376576
548	1.843012869
549	1.842408984
550	1.842098632
551	1.841587551
552	1.840977288
553	1.840616501
554	1.838470108
555	1.838207707
556	1.837579706
557	1.837139151
558	1.836605419
559	1.83632713
560	1.835276928
561	1.834804875
562	1.834016421
563	1.833506742
564	1.832333454
565	1.83181692
566	1.830859335
567	1.829250871
568	1.828769369
569	1.828209821
570	1.827901615
571	1.827517677
572	1.826620409
573	1.826005208
574	1.825605281
575	1.82527056
576	1.82483168
577	1.824176604
578	1.82318264
579	1.822599818
580	1.822303649
581	1.821499334
582	1.820801092
583	1.819850378
584	1.81918901
585	1.81865968
586	1.818332846
587	1.816722338
588	1.816094306
589	1.814951758
590	1.814459549
591	1.813000971
592	1.812732497
593	1.812450523
594	1.812347181
595	1.812145738
596	1.811660129
597	1.811103219
598	1.809828386
599	1.809655642
600	1.809142849
601	1.808774146
602	1.807102399
603	1.806039796
604	1.803980769
605	1.803440279
606	1.802963887
607	1.802069879
608	1.801576961
609	1.80099028
610	1.799456846
611	1.799160333
612	1.798414924
613	1.797764216
614	1.797211632
615	1.796759296
616	1.796111986
617	1.795809742
618	1.79544994
619	1.794300697
620	1.79353353
621	1.793060765
622	1.792626294
623	1.792234177
624	1.79155834
625	1.791284822
626	1.790435005
627	1.790245328
628	1.789453767
629	1.789130153
630	1.788970596
631	1.788457933
632	1.788144994
633	1.787647588
634	1.787264778
635	1.786615709
636	1.786287262
637	1.785837581
638	1.785617659
639	1.785323209
640	1.784614063
641	1.783820107
642	1.782925686
643	1.782545895
644	1.782326464
645	1.781985825
646	1.780911875
647	1.780460665
648	1.780040026
649	1.779563612
650	1.779265537
651	1.778298768
652	1.777186998
653	1.776883063
654	1.776460787
655	1.77583767
656	1.775439927
657	1.775215761
658	1.774832338
659	1.7743139
660	1.773310206
661	1.772785622
662	1.772532829
663	1.771451372
664	1.771188872
665	1.770850896
666	1.77012474
667	1.769875268
668	1.76947463
669	1.769059981
670	1.7685918
671	1.768077202
672	1.767739248
673	1.767500376
674	1.767030696
675	1.766630318
676	1.765748953
677	1.764743994
678	1.764313612
679	1.76277081
680	1.762662295
681	1.761777306
682	1.761637074
683	1.761478896
684	1.760633534
685	1.760288151
686	1.760036519
687	1.75965342
688	1.759353231
689	1.759157574
690	1.758740484
691	1.75856467
692	1.758179868
693	1.757498362
694	1.756934291
695	1.756443976
696	1.756283533
697	1.755275394
698	1.754554888
699	1.752638643
700	1.751828173
701	1.751605497
702	1.750922845
703	1.750096784
704	1.749619224
705	1.747077516
706	1.747035313
707	1.746664177
708	1.745831508
709	1.744943162
710	1.744505444
711	1.744303856
712	1.744174593
713	1.743778162
714	1.743455517
715	1.743425899
716	1.741655123
717	1.741304136
718	1.739939124
719	1.739457692
720	1.736953013
721	1.736318799
722	1.736316063
723	1.736080012
724	1.735930949
725	1.735259784
726	1.734836768
727	1.734041881
728	1.732986222
729	1.731579918
730	1.731519029
731	1.7312996
732	1.731168183
733	1.730456436
734	1.730118302
735	1.729630181
736	1.729519637
737	1.729285904
738	1.729016864
739	1.728612404
740	1.728111786
741	1.727155034
742	1.726173218
743	1.725835509
744	1.72495719
745	1.724210131
746	1.723735891
747	1.723598857
748	1.723414625
749	1.722643352
750	1.722352835
751	1.721905478
752	1.721497757
753	1.721037554
754	1.720626922
755	1.719971212
756	1.719824418
757	1.719108835
758	1.719045359
759	1.718760368
760	1.718230377
761	1.716984284
762	1.716921486
763	1.716181949
764	1.715974209
765	1.715524124
766	1.715165346
767	1.715027262
768	1.714674988
769	1.714270707
770	1.713490519
771	1.712789713
772	1.710463456
773	1.710197887
774	1.709852754
775	1.709753938
776	1.708969942
777	1.708646899
778	1.707365559
779	1.706685029
780	1.706422216
781	1.705971009
782	1.705926046
783	1.705265976
784	1.704398297
785	1.702954702
786	1.702531218
787	1.7024283
788	1.701069309
789	1.700803663
790	1.700254991
791	1.699716005
792	1.699343672
793	1.699145472
794	1.698208235
795	1.69753356
796	1.696196077
797	1.696028203
798	1.695943051
799	1.695045266
800	1.694379614
801	1.69430667
802	1.692718885
803	1.692391305
804	1.692210968
805	1.692106114
806	1.691850214
807	1.691550974
808	1.691385623
809	1.691210835
810	1.689783038
811	1.68872434
812	1.688511162
813	1.688141076
814	1.686043879
815	1.684754981
816	1.683932363
817	1.683686814
818	1.68343767
819	1.682757729
820	1.681763848
821	1.680953348
822	1.680523601
823	1.679596844
824	1.679186596
825	1.678993448
826	1.678579591
827	1.678212186
828	1.677859444
829	1.675861083
830	1.675613081
831	1.674546135
832	1.674329611
833	1.674244405
834	1.67389456
835	1.673588643
836	1.673306502
837	1.672865714
838	1.672433355
839	1.672334035
840	1.671716347
841	1.671060177
842	1.670305044
843	1.669469401
844	1.669341543
845	1.668982937
846	1.668209814
847	1.668032135
848	1.667106546
849	1.666654646
850	1.666034971
851	1.665577857
852	1.665177335
853	1.66465905
854	1.664472239
855	1.663940009
856	1.662806741
857	1.662133165
858	1.661507275
859	1.661116866
860	1.660876738
861	1.659698994
862	1.659124152
863	1.658184784
864	1.6572436
865	1.65675805
866	1.656213377
867	1.655981585
868	1.655412818
869	1.655013543
870	1.65473075
871	1.65407586
872	1.653974701
873	1.652877336
874	1.652312559
875	1.651978501
876	1.651536148
877	1.650960148
878	1.65069539
879	1.650240762
880	1.650044788
881	1.649843322
882	1.648573816
883	1.648496315
884	1.648258419
885	1.648129899
886	1.647264686
887	1.646824041
888	1.646673227
889	1.646045298
890	1.645546841
891	1.645467878
892	1.644438
893	1.644104188
894	1.643601345
895	1.642892086
896	1.642855601
897	1.642479972
898	1.641905537
899	1.641613796
900	1.641451436
901	1.640998455
902	1.640246681
903	1.640124047
904	1.639908575
905	1.63964552
906	1.639000038
907	1.638769354
908	1.638674873
909	1.638332314
910	1.637716647
911	1.636723022
912	1.636693166
913	1.635791781
914	1.635501499
915	1.635007303
916	1.633961738
917	1.633441362
918	1.632829162
919	1.631689232
920	1.631177363
921	1.63065622
922	1.630281076
923	1.629900211
924	1.629644929
925	1.62836632
926	1.628216582
927	1.62735564
928	1.626920997
929	1.626189855
930	1.625688324
931	1.625475302
932	1.624381909
933	1.62342706
934	1.623191411
935	1.623102649
936	1.62302583
937	1.622719128
938	1.622391838
939	1.622196245
940	1.621700579
941	1.620567162
942	1.620039912
943	1.619088558
944	1.618858874
945	1.617864776
946	1.617280918
947	1.615721266
948	1.614854732
949	1.61441985
950	1.613917888
951	1.613641597
952	1.613206544
953	1.611862943
954	1.610750977
955	1.609823635
956	1.608996258
957	1.608670503
958	1.60826262
959	1.607980195
960	1.607619776
961	1.607015257
962	1.606497895
963	1.606141415
964	1.605352879
965	1.604579716
966	1.604430155
967	1.60393118
968	1.603565858
969	1.602928137
970	1.602499162
971	1.602143783
972	1.6018958
973	1.601071939
974	1.600694081
975	1.60064467
976	1.600604759
977	1.60014374
978	1.599923336
979	1.599341445
980	1.598754829
981	1.598393451
982	1.598196051
983	1.597921882
984	1.59747851
985	1.597131887
986	1.597047557
987	1.596674427
988	1.596349148
989	1.594803688
990	1.594720317
991	1.594100444
992	1.59389731
993	1.593253548
994	1.592686968
995	1.5919649
996	1.590559822
997	1.590478892
998	1.589299761
999	1.588847133
